word	lemma	pos
Ze	zij	PD(type=pers,position=free)
fronst	fronsen	VRB(finiteness=fin,tense=pres)
naar	naar	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
zonnende	zonnen	AA(degree=pos,position=prenom)
vrouw	vrouw	NOU-C(number=sg)
in	in	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
kleine	klein	AA(degree=pos,position=prenom)
bikini	bikini	NOU-C(number=sg)
,	None	PC
die	die	PD(type=d-p,position=free)
zich	zich	PD(type=refl,position=free)
net	net	AA(degree=pos,position=free)
loom	loom	AA(degree=pos,position=free)
heeft	hebben	VRB(finiteness=fin,tense=pres)
opgericht	oprichten	VRB(finiteness=pastpart)
om	om	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
kleur	kleur	NOU-C(number=sg)
van	van	ADP(type=pre)
haar	haar	PD(type=poss,position=prenom)
buik	buik	NOU-C(number=sg)
te	te	ADP(type=pre)
inspecteren	inspecteren	VRB(finiteness=inf)
.	None	PC
Ze	zij	PD(type=pers,position=free)
ligt	liggen	VRB(finiteness=fin,tense=pres)
niet	niet	ADV(type=reg)
onder	onder	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
overhangende	overhangend	AA(degree=pos,position=prenom)
bomen	boom	NOU-C(number=pl)
tussen	tussen	ADP(type=pre)
het	het	PD(type=d-p,subtype=art,position=prenom)
smalle	smal	AA(degree=pos,position=prenom)
strand	strand	NOU-C(number=sg)
en	en	CONJ(type=coor)
de	de	PD(type=d-p,subtype=art,position=prenom)
weg	weg	NOU-C(number=sg)
,	None	PC
terwijl	terwijl	CONJ(type=sub)
daar	daar	ADV(type=reg)
toch	toch	ADV(type=reg)
voldoende	voldoende	AA(degree=pos,position=prenom)
schaduw	schaduw	NOU-C(number=sg)
is	zijn	VRB(finiteness=fin,tense=pres)
.	None	PC
De	de	PD(type=d-p,subtype=art,position=prenom)
man	man	NOU-C(number=sg)
van	van	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
zonnende	zonnen	AA(degree=pos,position=prenom)
vrouw	vrouw	NOU-C(number=sg)
staat	staan	VRB(finiteness=fin,tense=pres)
al	al	ADV(type=reg)
een	een	PD(type=indef,subtype=art,position=prenom)
tijd	tijd	NOU-C(number=sg)
in	in	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
branding	branding	NOU-C(number=sg)
in	in	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
verte	verte	NOU-C(number=sg)
te	te	ADP(type=pre)
staren	staren	VRB(finiteness=inf)
.	None	PC
Hij	hij	PD(type=pers,position=free)
heeft	hebben	VRB(finiteness=fin,tense=pres)
de	de	PD(type=d-p,subtype=art,position=prenom)
vorm	vorm	NOU-C(number=sg)
van	van	ADP(type=pre)
een	een	PD(type=indef,subtype=art,position=prenom)
gorilla	gorilla	NOU-C(number=sg)
:	None	PC
dikke	dik	AA(degree=pos,position=prenom)
buik	buik	NOU-C(number=sg)
,	None	PC
holle	hol	AA(degree=pos,position=prenom)
rug	rug	NOU-C(number=sg)
,	None	PC
korte	kort	AA(degree=pos,position=prenom)
benen	been	NOU-C(number=pl)
en	en	CONJ(type=coor)
lange	lang	AA(degree=pos,position=prenom)
armen	arm	NOU-C(number=pl)
.	None	PC
Mijn	mijn	PD(type=poss,position=prenom)
man	man	NOU-C(number=sg)
heeft	hebben	VRB(finiteness=fin,tense=pres)
ook	ook	ADV(type=reg)
een	een	PD(type=indef,subtype=art,position=prenom)
dikke	dik	AA(degree=pos,position=prenom)
buik	buik	NOU-C(number=sg)
,	None	PC
denkt	denken	VRB(finiteness=fin,tense=pres)
ze	zij	PD(type=pers,position=free)
,	None	PC
maar	maar	CONJ(type=coor)
een	een	PD(type=indef,subtype=art,position=prenom)
rechte	recht	AA(degree=pos,position=prenom)
rug	rug	NOU-C(number=sg)
en	en	CONJ(type=coor)
lange	lang	AA(degree=pos,position=prenom)
benen	been	NOU-C(number=pl)
.	None	PC
Mijn	mijn	PD(type=poss,position=prenom)
man	man	NOU-C(number=sg)
is	zijn	VRB(finiteness=fin,tense=pres)
geen	geen	PD(type=indef,subtype=oth,position=prenom)
gorilla	gorilla	NOU-C(number=sg)
.	None	PC
Miranda	Miranda	NOU-P
July	July	NOU-P
postte	posten	VRB(finiteness=fin,tense=past)
vanmorgen	vanmorgen	ADV(type=reg)
een	een	PD(type=indef,subtype=art,position=prenom)
filmpje	filmpje	NOU-C(number=sg)
op	op	ADP(type=pre)
Instagram	instagram	NOU-C(number=sg)
waarin	waarin	ADV(type=pron)
ze	zij	PD(type=pers,position=free)
wild	wild	AA(degree=pos,position=free)
door	door	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
gang	gang	NOU-C(number=sg)
danst	dansen	VRB(finiteness=fin,tense=pres)
in	in	ADP(type=pre)
een	een	PD(type=indef,subtype=art,position=prenom)
panty	panty	NOU-C(number=sg)
en	en	CONJ(type=coor)
Mickey	Mickey	NOU-P
Mouse-shirt	mousenshirt	NOU-C(number=sg)
.	None	PC
Ze	zij	PD(type=pers,position=free)
houdt	houden	VRB(finiteness=fin,tense=pres)
van	van	ADP(type=pre)
Miranda's	Miranda	NOU-P
geest	geest	NOU-C(number=sg)
,	None	PC
maar	maar	CONJ(type=coor)
niet	niet	ADV(type=reg)
van	van	ADP(type=pre)
haar	haar	PD(type=poss,position=prenom)
lichaam	lichaam	NOU-C(number=sg)
.	None	PC
Het	het	PD(type=pers,position=free)
zijn	zijn	VRB(finiteness=fin,tense=pres)
de	de	PD(type=d-p,subtype=art,position=prenom)
holle	hol	AA(degree=pos,position=prenom)
rug	rug	NOU-C(number=sg)
en	en	CONJ(type=coor)
korte	kort	AA(degree=pos,position=prenom)
benen	been	NOU-C(number=pl)
,	None	PC
die	die	PD(type=d-p,position=free)
maken	maken	VRB(finiteness=fin,tense=pres)
haar	haar	PD(type=pers,position=free)
kwaad	kwaad	AA(degree=pos,position=free)
.	None	PC
De	de	PD(type=d-p,subtype=art,position=prenom)
gorillaman	gorillaman	NOU-C(number=sg)
in	in	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
branding	branding	NOU-C(number=sg)
verpest	verpesten	VRB(finiteness=fin,tense=pres)
haar	haar	PD(type=poss,position=prenom)
uitzicht	uitzicht	NOU-C(number=sg)
.	None	PC
Kom	komen	VRB(finiteness=fin,tense=pres)
,	None	PC
zegt	zeggen	VRB(finiteness=fin,tense=pres)
ze	zij	PD(type=pers,position=free)
tegen	tegen	ADP(type=pre)
haar	haar	PD(type=poss,position=prenom)
zoon	zoon	NOU-C(number=sg)
,	None	PC
die	die	PD(type=d-p,position=free)
met	met	ADP(type=pre)
zijn	zijn	PD(type=poss,position=prenom)
wijsvinger	wijsvinger	NOU-C(number=sg)
strepen	streep	NOU-C(number=pl)
trekt	trekken	VRB(finiteness=fin,tense=pres)
in	in	ADP(type=pre)
het	het	PD(type=d-p,subtype=art,position=prenom)
zand	zand	NOU-C(number=sg)
.	None	PC
Hij	hij	PD(type=pers,position=free)
tekent	tekenen	VRB(finiteness=fin,tense=pres)
een	een	PD(type=indef,subtype=art,position=prenom)
kasteel	kasteel	NOU-C(number=sg)
.	None	PC
Het	het	PD(type=d-p,subtype=art,position=prenom)
kasteel	kasteel	NOU-C(number=sg)
is	zijn	VRB(finiteness=fin,tense=pres)
gesloten	sluiten	VRB(finiteness=pastpart)
,	None	PC
zegt	zeggen	VRB(finiteness=fin,tense=pres)
hij	hij	PD(type=pers,position=free)
.	None	PC
Mooi	mooi	AA(degree=pos,position=free)
,	None	PC
zegt	zeggen	VRB(finiteness=fin,tense=pres)
ze	zij	PD(type=pers,position=free)
.	None	PC
Want	want	CONJ(type=coor)
je	jij	PD(type=pers,position=free)
wilde	willen	VRB(finiteness=fin,tense=past)
toch	toch	ADV(type=reg)
op	op	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
waterfiets	waterfiets	NOU-C(number=sg)
?	None	PC
Ik	ik	PD(type=pers,position=free)
ga	gaan	VRB(finiteness=fin,tense=pres)
wel	wel	ADV(type=reg)
met	met	ADP(type=pre)
hem	hij	PD(type=pers,position=free)
,	None	PC
had	hebben	VRB(finiteness=fin,tense=past)
ze	zij	PD(type=pers,position=free)
die	die	PD(type=d-p,subtype=oth,position=prenom)
ochtend	ochtend	NOU-C(number=sg)
tegen	tegen	ADP(type=pre)
haar	haar	PD(type=poss,position=prenom)
man	man	NOU-C(number=sg)
gezegd	zeggen	VRB(finiteness=pastpart)
.	None	PC
Gaan	gaan	VRB(finiteness=fin,tense=pres)
jullie	jullie	PD(type=pers,position=free)
maar	maar	ADV(type=reg)
naar	naar	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
markt	markt	NOU-C(number=sg)
.	None	PC
Vanavond	vanavond	ADV(type=reg)
zullen	zullen	VRB(finiteness=fin,tense=pres)
ze	zij	PD(type=pers,position=free)
vis	vis	NOU-C(number=sg)
grillen	grillen	VRB(finiteness=inf)
op	op	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
barbecue	barbecue	NOU-C(number=sg)
bij	bij	ADP(type=pre)
het	het	PD(type=d-p,subtype=art,position=prenom)
familiehuis	familiehuis	NOU-C(number=sg)
van	van	ADP(type=pre)
hun	hun	PD(type=poss,position=prenom)
vrienden	vriend	NOU-C(number=pl)
,	None	PC
die	die	PD(type=d-p,position=free)
een	een	PD(type=indef,subtype=art,position=prenom)
zoon	zoon	NOU-C(number=sg)
van	van	ADP(type=pre)
dezelfde	dezelfde	PD(type=d-p,subtype=oth,position=prenom)
leeftijd	leeftijd	NOU-C(number=sg)
hebben	hebben	VRB(finiteness=fin,tense=pres)
.	None	PC
De	de	PD(type=d-p,subtype=art,position=prenom)
zoon	zoon	NOU-C(number=sg)
wilde	meewillen	VRB(finiteness=fin,tense=past)
mee	meewillen	VRB(finiteness=fin,tense=past)
naar	naar	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
markt	markt	NOU-C(number=sg)
omdat	omdat	CONJ(type=sub)
hij	hij	PD(type=pers,position=free)
wist	weten	VRB(finiteness=fin,tense=past)
welke	welk	PD(type=w-p,position=prenom)
vis	vis	NOU-C(number=sg)
de	de	PD(type=d-p,subtype=art,position=prenom)
lekkerste	lekker	AA(degree=sup,position=prenom)
was	zijn	VRB(finiteness=fin,tense=past)
.	None	PC
Toen	toen	CONJ(type=sub)
haar	haar	PD(type=poss,position=prenom)
man	man	NOU-C(number=sg)
zei	zeggen	VRB(finiteness=fin,tense=past)
dat	dat	CONJ(type=sub)
hij	hij	PD(type=pers,position=free)
dat	dat	PD(type=d-p,position=free)
ook	ook	ADV(type=reg)
wel	wel	ADV(type=reg)
wist	weten	VRB(finiteness=fin,tense=past)
schudde	schudden	VRB(finiteness=fin,tense=past)
de	de	PD(type=d-p,subtype=art,position=prenom)
jongen	jongen	NOU-C(number=sg)
zijn	zijn	PD(type=poss,position=prenom)
hoofd	hoofd	NOU-C(number=sg)
.	None	PC
We	wij	PD(type=pers,position=free)
moeten	moeten	VRB(finiteness=fin,tense=pres)
zeebaars	zeebaars	NOU-C(number=sg)
hebben	hebben	VRB(finiteness=inf)
,	None	PC
zei	zeggen	VRB(finiteness=fin,tense=past)
zijn	zijn	PD(type=poss,position=prenom)
moeder	moeder	NOU-C(number=sg)
.	None	PC
Die	die	PD(type=d-p,position=free)
is	zijn	VRB(finiteness=fin,tense=pres)
hier	hier	ADV(type=reg)
het	het	PD(type=d-p,subtype=art,position=prenom)
best	best	NOU-C(number=sg)
.	None	PC
Zij	zij	PD(type=pers,position=free)
groeide	opgroeien	VRB(finiteness=fin,tense=past)
op	opgroeien	VRB(finiteness=fin,tense=past)
aan	aan	ADP(type=pre)
deze	deze	PD(type=d-p,subtype=oth,position=prenom)
zee	zee	NOU-C(number=sg)
,	None	PC
onder	onder	ADP(type=pre)
deze	deze	PD(type=d-p,subtype=oth,position=prenom)
zon	zon	NOU-C(number=sg)
,	None	PC
zij	zij	PD(type=pers,position=free)
keert	terugkeren	VRB(finiteness=fin,tense=pres)
hier	hier	ADV(type=reg)
elke	elk	PD(type=indef,subtype=oth,position=prenom)
zomer	zomer	NOU-C(number=sg)
terug	terugkeren	VRB(finiteness=fin,tense=pres)
.	None	PC
Gisteren	gisteren	ADV(type=reg)
had	hebben	VRB(finiteness=fin,tense=past)
ze	zij	PD(type=pers,position=free)
pasta	pasta	NOU-C(number=sg)
met	met	ADP(type=pre)
inktvis	inktvis	NOU-C(number=sg)
gemaakt	maken	VRB(finiteness=pastpart)
volgens	volgens	ADP(type=pre)
een	een	PD(type=indef,subtype=art,position=prenom)
oud	oud	AA(degree=pos,position=prenom)
familierecept	familierecept	NOU-C(number=sg)
.	None	PC
Haar	haar	PD(type=poss,position=prenom)
man	man	NOU-C(number=sg)
zei	zeggen	VRB(finiteness=fin,tense=past)
tegen	tegen	ADP(type=pre)
hun	hun	PD(type=poss,position=prenom)
vriendin	vriendin	NOU-C(number=sg)
dat	dat	CONJ(type=sub)
je	jij	PD(type=pers,position=free)
de	de	PD(type=d-p,subtype=art,position=prenom)
inktvis	inktvis	NOU-C(number=sg)
eerst	eerst	ADV(type=reg)
moest	moeten	VRB(finiteness=fin,tense=past)
ontdooien	ontdooien	VRB(finiteness=inf)
maar	maar	CONJ(type=coor)
de	de	PD(type=d-p,subtype=art,position=prenom)
vriendin	vriendin	NOU-C(number=sg)
zei	zeggen	VRB(finiteness=fin,tense=past)
dat	dat	CONJ(type=sub)
haar	haar	PD(type=poss,position=prenom)
familie	familie	NOU-C(number=sg)
dat	dat	PD(type=d-p,position=free)
nooit	nooit	ADV(type=reg)
deed	doen	VRB(finiteness=fin,tense=past)
,	None	PC
die	die	PD(type=d-p,position=free)
gooiden	ingooien	VRB(finiteness=fin,tense=past)
de	de	PD(type=d-p,subtype=art,position=prenom)
bevroren	bevroren	AA(degree=pos,position=prenom)
inktvis	inktvis	NOU-C(number=sg)
zo	zo	ADV(type=reg)
de	de	PD(type=d-p,subtype=art,position=prenom)
pan	pan	NOU-C(number=sg)
in	ingooien	VRB(finiteness=fin,tense=past)
.	None	PC
Even	even	AA(degree=pos,position=free)
later	laat	AA(degree=comp,position=free)
zag	zien	VRB(finiteness=fin,tense=past)
ze	zij	PD(type=pers,position=free)
haar	haar	PD(type=poss,position=prenom)
man	man	NOU-C(number=sg)
de	de	PD(type=d-p,subtype=art,position=prenom)
inktvis	inktvis	NOU-C(number=sg)
ontdooien	ontdooien	VRB(finiteness=inf)
.	None	PC
Maar	maar	CONJ(type=coor)
hij	hij	PD(type=pers,position=free)
moet	moeten	VRB(finiteness=fin,tense=pres)
bevroren	bevriezen	VRB(finiteness=pastpart)
de	de	PD(type=d-p,subtype=art,position=prenom)
pan	pan	NOU-C(number=sg)
in	in	ADP(type=post)
,	None	PC
zei	zeggen	VRB(finiteness=fin,tense=past)
ze	zij	PD(type=pers,position=free)
.	None	PC
Toen	toen	ADV(type=reg)
hadden	hebben	VRB(finiteness=fin,tense=past)
ze	zij	PD(type=pers,position=free)
ruzie	ruzie	NOU-C(number=sg)
gekregen	krijgen	VRB(finiteness=pastpart)
.	None	PC
Intussen	intussen	ADV(type=reg)
had	hebben	VRB(finiteness=fin,tense=past)
hun	hun	PD(type=poss,position=prenom)
vriendin	vriendin	NOU-C(number=sg)
de	de	PD(type=d-p,subtype=art,position=prenom)
licht	licht	AA(degree=pos,position=free)
ontdooide	ontdooid	AA(degree=pos,position=prenom)
inktvis	inktvis	NOU-C(number=sg)
in	in	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
pan	pan	NOU-C(number=sg)
gegooid	gooien	VRB(finiteness=pastpart)
.	None	PC
Ik	ik	PD(type=pers,position=free)
ben	zijn	VRB(finiteness=fin,tense=pres)
niet	niet	ADV(type=reg)
aards	aards	AA(degree=pos,position=free)
,	None	PC
zei	zeggen	VRB(finiteness=fin,tense=past)
ze	zij	PD(type=pers,position=free)
altijd	altijd	ADV(type=reg)
als	als	CONJ(type=sub)
mensen	mens	NOU-C(number=pl)
haar	haar	PD(type=pers,position=free)
vroegen	vragen	VRB(finiteness=fin,tense=past)
of	of	CONJ(type=sub)
ze	zij	PD(type=pers,position=free)
van	van	ADP(type=pre)
koken	keuken	NOU-C(number=sg)
hield	houden	VRB(finiteness=fin,tense=past)
.	None	PC
Ik	ik	PD(type=pers,position=free)
kan	kunnen	VRB(finiteness=fin,tense=pres)
niet	niet	ADV(type=reg)
koken	koken	VRB(finiteness=inf)
en	en	CONJ(type=coor)
niet	niet	ADV(type=reg)
tuinieren	tuinieren	VRB(finiteness=inf)
.	None	PC
Ik	ik	PD(type=pers,position=free)
kan	kunnen	VRB(finiteness=fin,tense=pres)
mijn	mijn	PD(type=poss,position=prenom)
lichaam	lichaam	NOU-C(number=sg)
niet	niet	ADV(type=reg)
voelen	voelen	VRB(finiteness=inf)
,	None	PC
dacht	denken	VRB(finiteness=fin,tense=past)
ze	zij	PD(type=pers,position=free)
.	None	PC
Maar	maar	CONJ(type=coor)
dat	dat	PD(type=d-p,position=free)
zei	zeggen	VRB(finiteness=fin,tense=past)
ze	zij	PD(type=pers,position=free)
nooit	nooit	ADV(type=reg)
.	None	PC
Het	het	PD(type=pers,position=free)
is	zijn	VRB(finiteness=fin,tense=pres)
een	een	PD(type=indef,subtype=art,position=prenom)
waterfiets	waterfiets	NOU-C(number=sg)
met	met	ADP(type=pre)
een	een	PD(type=indef,subtype=art,position=prenom)
glijbaan	glijbaan	NOU-C(number=sg)
erop	erop	ADV(type=pron)
.	None	PC
Ze	zij	PD(type=pers,position=free)
trapt	trappen	VRB(finiteness=fin,tense=pres)
tot	tot	ADP(type=pre)
haar	haar	PD(type=poss,position=prenom)
zoon	zoon	NOU-C(number=sg)
Stop	stop	INT
!	None	PC
roept	roepen	VRB(finiteness=fin,tense=pres)
en	en	CONJ(type=coor)
dan	dan	ADV(type=reg)
stopt	stoppen	VRB(finiteness=fin,tense=pres)
ze	zij	PD(type=pers,position=free)
en	en	CONJ(type=coor)
glijd	glijden	VRB(finiteness=fin,tense=pres)
hij	hij	PD(type=pers,position=free)
zwijgend	zwijgen	AA(degree=pos,position=free)
van	van	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
glijbaan	glijbaan	NOU-C(number=sg)
het	het	PD(type=d-p,subtype=art,position=prenom)
water	water	NOU-C(number=sg)
in	in	ADP(type=post)
.	None	PC
Ze	zij	PD(type=pers,position=free)
hoort	horen	VRB(finiteness=fin,tense=pres)
telkens	telkens	ADV(type=reg)
alleen	alleen	AA(degree=pos,position=free)
een	een	PD(type=indef,subtype=art,position=prenom)
plons	plons	NOU-C(number=sg)
.	None	PC
En	en	CONJ(type=coor)
dan	dan	ADV(type=reg)
zwemt	zwemmen	VRB(finiteness=fin,tense=pres)
hij	hij	PD(type=pers,position=free)
met	met	ADP(type=pre)
een	een	PD(type=indef,subtype=art,position=prenom)
ernstig	ernstig	AA(degree=pos,position=prenom)
gezicht	gezicht	NOU-C(number=sg)
naar	naar	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
achterkant	achterkant	NOU-C(number=sg)
van	van	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
fiets	fiets	NOU-C(number=sg)
en	en	CONJ(type=coor)
hoort	horen	VRB(finiteness=fin,tense=pres)
ze	zij	PD(type=pers,position=free)
hem	hij	PD(type=pers,position=free)
hijgend	hijgen	VRB(finiteness=prespart)
vanuit	vanuit	ADP(type=pre)
het	het	PD(type=d-p,subtype=art,position=prenom)
water	water	NOU-C(number=sg)
het	het	PD(type=d-p,subtype=art,position=prenom)
trapje	trapje	NOU-C(number=sg)
op	op	ADP(type=post)
klimmen	klimmen	VRB(finiteness=inf)
.	None	PC
Trappen	trap	NOU-C(number=pl)
,	None	PC
zegt	zeggen	VRB(finiteness=fin,tense=pres)
hij	hij	PD(type=pers,position=free)
alleen	alleen	AA(degree=pos,position=free)
.	None	PC
En	en	CONJ(type=coor)
dan	dan	ADV(type=reg)
weer	weer	ADV(type=reg)
:	None	PC
Stop	stoppen	VRB(finiteness=fin,tense=pres)
!	None	PC
Zo	zo	ADV(type=reg)
gaan	doorgaan	VRB(finiteness=fin,tense=pres)
ze	zij	PD(type=pers,position=free)
een	een	PD(type=indef,subtype=art,position=prenom)
tijdje	tijdje	NOU-C(number=sg)
door	doorgaan	VRB(finiteness=fin,tense=pres)
.	None	PC
Dit	dit	PD(type=d-p,position=free)
kan	kunnen	VRB(finiteness=fin,tense=pres)
ik	ik	PD(type=pers,position=free)
,	None	PC
denkt	denken	VRB(finiteness=fin,tense=pres)
ze	zij	PD(type=pers,position=free)
.	None	PC
Dit	dit	PD(type=d-p,position=free)
loopt	lopen	VRB(finiteness=fin,tense=pres)
gesmeerd	smeren	VRB(finiteness=pastpart)
.	None	PC
Aantekeningen	aantekening	
:	None	PC
Het	het	
vinger-klem-incident	vinger-klemincident	
.	None	PC
Hoe	hoe	ADV(type=reg)
machteloos	machteloos	AA(degree=pos,position=free)
ze	zij	PD(type=pers,position=free)
was	zijn	VRB(finiteness=fin,tense=past)
.	None	PC
Diezelfde	diezelfde	PD(type=d-p,subtype=oth,position=prenom)
dag	dag	NOU-C(number=sg)
nog	nog	ADV(type=reg)
eens	eens	ADV(type=reg)
,	None	PC
tijdens	tijdens	ADP(type=pre)
het	het	PD(type=d-p,subtype=art,position=prenom)
bijna-stikken-incident	bijnastikkenincident	NOU-C(number=sg)
.	None	PC
Overwhelmed	overwelmed	INT
.	None	PC
Hoe	hoe	ADV(type=reg)
bedreigend	bedreigen	VRB(finiteness=prespart)
de	de	PD(type=d-p,subtype=art,position=prenom)
wereld	wereld	NOU-C(number=sg)
is	zijn	VRB(finiteness=fin,tense=pres)
en	en	CONJ(type=coor)
hoe	hoe	ADV(type=reg)
onvoorbereid	onvoorbereid	AA(degree=pos,position=free)
zij	zij	PD(type=pers,position=free)
is	zijn	VRB(finiteness=fin,tense=pres)
.	None	PC
Hoe	hoe	ADV(type=reg)
zij	zij	PD(type=pers,position=free)
mensen	mens	NOU-C(number=pl)
haat	haten	VRB(finiteness=fin,tense=pres)
.	None	PC
De	de	PD(type=d-p,subtype=art,position=prenom)
kuddes	kudde	NOU-C(number=pl)
.	None	PC
Hun	hun	PD(type=poss,position=prenom)
ogen	oog	NOU-C(number=pl)
.	None	PC
Hun	hun	PD(type=poss,position=prenom)
ongegeneerde	ongegeneerd	AA(degree=pos,position=prenom)
manier	manier	NOU-C(number=sg)
van	van	ADP(type=pre)
aanwezig	aanwezig	AA(degree=pos,position=free)
zijn	zijn	NOU-C(number=sg)
.	None	PC
Hoe	hoe	ADV(type=reg)
alert	Alert	NOU-P
ze	zij	PD(type=pers,position=free)
is	zijn	VRB(finiteness=fin,tense=pres)
op	op	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
haat	haat	NOU-C(number=sg)
van	van	ADP(type=pre)
anderen	ander	PD(type=indef,position=free)
jegens	jegens	ADP(type=pre)
haar	haar	PD(type=pers,position=free)
,	None	PC
vooral	vooral	ADV(type=reg)
die	die	PD(type=d-p,position=free)
van	van	ADP(type=pre)
haar	haar	PD(type=poss,position=prenom)
reisgenoten	reisgenoot	NOU-C(number=pl)
.	None	PC
Kunnen	kunnen	VRB(finiteness=fin,tense=pres)
ze	zij	PD(type=pers,position=free)
haar	haar	PD(type=poss,position=prenom)
aanwezigheid	aanwezigheid	NOU-C(number=sg)
nog	nog	ADV(type=reg)
wel	wel	ADV(type=reg)
verdragen	verdragen	VRB(finiteness=inf)
?	None	PC
Ze	zij	PD(type=pers,position=free)
is	zijn	VRB(finiteness=fin,tense=pres)
slim	slim	AA(degree=pos,position=free)
,	None	PC
maar	maar	CONJ(type=coor)
niet	niet	ADV(type=reg)
intellectueel	intellectueel	AA(degree=pos,position=free)
,	None	PC
zoals	zoals	CONJ(type=sub)
zij	zij	PD(type=pers,position=free)
.	None	PC
Haar	haar	PD(type=poss,position=prenom)
domme	dom	AA(degree=pos,position=prenom)
uitspraak	uitspraak	NOU-C(number=sg)
over	over	ADP(type=pre)
slavernij	slavernij	NOU-C(number=sg)
.	None	PC
Haar	haar	PD(type=poss,position=prenom)
benauwdheid	benauwdheid	NOU-C(number=sg)
bij	bij	ADP(type=pre)
het	het	PD(type=d-p,subtype=art,position=prenom)
zelfvertrouwen	zelfvertrouwen	NOU-C(number=sg)
waarmee	waarmee	ADV(type=pron)
de	de	PD(type=d-p,subtype=art,position=prenom)
mannen	man	NOU-C(number=pl)
praten	praten	VRB(finiteness=fin,tense=pres)
.	None	PC
Hoe	hoe	ADV(type=reg)
vaak	vaak	ADV(type=reg)
ze	zij	PD(type=pers,position=free)
dat	dat	PD(type=d-p,position=free)
in	in	ADP(type=pre)
haar	haar	PD(type=poss,position=prenom)
leven	leven	NOU-C(number=sg)
al	al	ADV(type=reg)
heeft	hebben	VRB(finiteness=fin,tense=pres)
gevoeld	voelen	VRB(finiteness=pastpart)
.	None	PC
Benauwdheid	benauwdheid	NOU-C(number=sg)
en	en	CONJ(type=coor)
woede	woede	NOU-C(number=sg)
.	None	PC
Of	of	CONJ(type=coor)
eigenlijk	eigenlijk	AA(degree=pos,position=free)
vooral	vooral	ADV(type=reg)
